pid,iteration,index,model,qsize,incremented_index,weight,thread_percentage,convergence_count
63166,0,0,resnet18_pretrained,0,,10,50,0
63170,0,1,resnet18_pretrained,0,,10,50,0
63170,0,,,,-1,,,0
63266,1,0,resnet18_pretrained,10,,10,50,0
63267,1,1,resnet18_pretrained,10,,10,50,0
63300,2,1,resnet18_pretrained,9,,10,50,1
63299,2,0,resnet18_pretrained,10,,10,50,1
63324,3,0,resnet18_pretrained,10,,10,50,2
63325,3,1,resnet18_pretrained,10,,10,50,2
63354,4,0,resnet18_pretrained,10,,10,50,3
63355,4,1,resnet18_pretrained,10,,10,50,3
